,ID,Title,Assigned To,Case ID,Comment,Defects,Elapsed,Forecast,In Progress,Plan,Plan ID,Platform,Priority,References,Run,Run Configuration,Run ID,Section,Section Depth,Section Description,Status,Tested By,Tested On,Type,Version
25,T30609989,Verify user can use scrubbing to FF/Back video,Thiago Capanema,C2617219,,GCX-25907,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
iOS
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2301,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,"VOD Timeline, Playback Controls & Transport Controls",1,,Failed,Thiago Capanema,6/7/2023 5:01 PM,Regression,
26,T30609985,Verify cold start audio and text menu settings for adult profile with device CC settings set to ON,Thiago Capanema,C2612525,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Android TV
tvOS
DirecTV
iPad
iPhone",P0,GQA-2316,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Audio and text menu,1,,Passed,Thiago Capanema,6/7/2023 5:02 PM,Regression,
27,T30609987,Verify cold start audio and text menu settings for kids profile,Bharati Subramanian,C2614810,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Android TV
tvOS
DirecTV
iPad
iPhone",P0,GQA-2316,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Audio and text menu,1,,Passed,Bharati Subramanian,6/8/2023 2:20 AM,Regression,1.1.1.4
28,T30609992,Verify More episodes button is only available on episodic content,Thiago Capanema,C2621760,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Roku
Android TV
Comcast
STB
Samsung
LG
Xbox
Vizio
Playstation
cdev",P0,GQA-2261,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,More Episodes,1,,Passed,Thiago Capanema,6/7/2023 5:03 PM,Regression,
29,T30609993,Verify “More Episodes” is a persistent part of the player chrome,Thiago Capanema,C2621762,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Roku
Android TV
DirecTV
Comcast
Samsung
LG
Xbox
Vizio
Playstation",P0,GQA-2261,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,More Episodes,1,,Passed,Thiago Capanema,6/7/2023 5:03 PM,Regression,
30,T30609998,Verify R&A is <displayed> for <content type>,Noel Dizon,C2622785,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-1807,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Ratings & Advisories Overlay,1,,Passed,Noel Dizon,6/7/2023 7:08 PM,Regression,
31,T30609996,Rating and Advisories do not display over pre-roll,Noel Dizon,C2622771,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-3958, GQA-2254",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Ratings & Advisories Overlay,1,,Passed,Noel Dizon,6/7/2023 7:22 PM,Regression,
32,T30609997,R&A should display during intro,Noel Dizon,C2622774,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-1807,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Ratings & Advisories Overlay,1,,Passed,Noel Dizon,6/7/2023 7:22 PM,Regression,
33,T30609973,Geo error message When User Launch App in 'Not Permitted Territory',,C2481422,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
iPad
iPhone",P0,GQA-2250,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Site Selection & EEA Portability,1,,Passed,Jun Choi,6/8/2023 10:18 AM,Regression,
34,T30609968,Authenticated user can get search results,Thiago Capanema,C2478647,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2100, GQA-2175, GQA-2165, GQA-2102, GQA-2174",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Search Core,1,,Passed,Thiago Capanema,6/7/2023 5:04 PM,Regression,
35,T30609969,Authenticated user on a kid’s profile can get search results,Thiago Capanema,C2478648,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2639, GQA-2737, GQA-2618",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Search Core,1,,Passed,Thiago Capanema,6/7/2023 5:06 PM,Regression,
36,T30609994,User can see different type of content in the End Card recommendations,Thiago Capanema,C2622545,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Roku
Web
Android TV
tvOS
DirecTV
Comcast
Samsung
LG
Xbox
Vizio
Playstation",P0,GQA-2804,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Human / Machine : ML for End Card,1,,Passed,Thiago Capanema,6/7/2023 5:27 PM,Regression,
37,T30609964,Standard profile user-Validate Account page,Thiago Capanema,C2478614,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2006,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Account Page,1,,Passed,Thiago Capanema,6/7/2023 5:19 PM,Regression,
38,T30609965,Kids profile user-Validate Account page,Thiago Capanema,C2478615,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2006,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Account Page,1,,Passed,Thiago Capanema,6/7/2023 5:20 PM,Regression,
39,T30610000,Standard Profile Creation,Thiago Capanema,C2653506,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2069, GQA-2248, GQA-2064",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,User Profiles,1,,Passed,Thiago Capanema,6/7/2023 5:18 PM,Regression,
40,T30610001,Kids Profile Creation and Validation of content,Thiago Capanema,C2653507,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2274,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,User Profiles,1,,Passed,Thiago Capanema,6/7/2023 5:21 PM,Regression,
41,T30610002,PIN Validation,Snehi Maniktala,C2653508, ![](index.php?/attachments/get/1cc459e6-d601-4add-9361-a115b7216a89)  ![](index.php?/attachments/get/59060546-547e-43a5-a253-9395bf58382c)  ![](index.php?/attachments/get/76e07728-9459-4367-a4c4-0598122108d4)  ,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2788, GQA-2805",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,User Profiles,1,,Passed,Snehi Maniktala,6/8/2023 2:54 AM,Regression,
